"field","n_male","n_female"
"anthropology",7883,8427
"archaeology",3853,3124
"art history",1831,2868
"astronomy",70,15
"biochemistry",18204,11369
"chemistry",103593,46114
"classics",1843,1729
"communications",14854,15325
"comparative literature",578,685
"computer science",59907,15934
"earth sciences",13630,6557
"economics",56985,29520
"education",51870,66123
"engineering",327615,76860
"english literature",14939,17129
"evolutionary biology",2052,1635
"history",24312,16357
"linguistics",6566,7820
"mathematics",53220,17895
"middle eastern studies",436,237
"molecular biology",6670,4980
"music",1054,824
"neuroscience",8739,6909
"philosophy",19290,9332
"physics",112804,26620
"political science",17669,10161
"psychology",41469,58087
"sociology",13414,12382
"spanish literature",1549,1886
"statistics",11074,5530
