"from_matched_field","to_matched_field","n_male","n_female"
"anthropology","anthropology",2794,2834
"anthropology","archaeology",163,148
"anthropology","art history",3,12
"anthropology","biochemistry",3,1
"anthropology","chemistry",6,9
"anthropology","classics",3,5
"anthropology","communications",31,50
"anthropology","comparative literature",0,1
"anthropology","computer science",12,6
"anthropology","earth sciences",7,7
"anthropology","economics",28,33
"anthropology","education",97,153
"anthropology","engineering",12,16
"anthropology","english literature",11,21
"anthropology","evolutionary biology",11,17
"anthropology","history",97,105
"anthropology","linguistics",24,19
"anthropology","mathematics",6,3
"anthropology","middle eastern studies",4,6
"anthropology","molecular biology",3,4
"anthropology","music",4,1
"anthropology","neuroscience",5,5
"anthropology","philosophy",56,32
"anthropology","physics",10,2
"anthropology","political science",48,64
"anthropology","psychology",69,65
"anthropology","sociology",135,140
"anthropology","spanish literature",5,4
"anthropology","statistics",8,2
"archaeology","anthropology",141,124
"archaeology","archaeology",1301,1077
"archaeology","art history",11,12
"archaeology","biochemistry",0,2
"archaeology","chemistry",7,3
"archaeology","classics",19,21
"archaeology","communications",1,7
"archaeology","computer science",9,5
"archaeology","earth sciences",11,4
"archaeology","economics",1,6
"archaeology","education",20,29
"archaeology","engineering",7,6
"archaeology","english literature",0,5
"archaeology","evolutionary biology",2,2
"archaeology","history",148,129
"archaeology","linguistics",3,0
"archaeology","mathematics",3,2
"archaeology","middle eastern studies",1,1
"archaeology","music",0,1
"archaeology","neuroscience",1,0
"archaeology","philosophy",10,11
"archaeology","physics",10,4
"archaeology","political science",2,3
"archaeology","psychology",1,0
"archaeology","sociology",3,3
"art history","anthropology",4,23
"art history","archaeology",10,23
"art history","art history",560,873
"art history","biochemistry",1,0
"art history","chemistry",1,0
"art history","classics",6,5
"art history","communications",9,35
"art history","comparative literature",1,2
"art history","computer science",1,6
"art history","earth sciences",3,4
"art history","economics",2,8
"art history","education",32,58
"art history","engineering",4,6
"art history","english literature",9,11
"art history","history",81,106
"art history","linguistics",7,1
"art history","mathematics",0,1
"art history","middle eastern studies",1,3
"art history","music",7,3
"art history","neuroscience",1,1
"art history","philosophy",19,16
"art history","physics",1,0
"art history","political science",1,4
"art history","psychology",0,11
"art history","sociology",2,7
"art history","spanish literature",1,3
"art history","statistics",0,1
"astronomy","astronomy",22,0
"astronomy","computer science",1,0
"astronomy","earth sciences",0,1
"astronomy","engineering",1,1
"astronomy","mathematics",2,1
"astronomy","neuroscience",1,0
"astronomy","physics",5,1
"biochemistry","anthropology",1,3
"biochemistry","archaeology",0,2
"biochemistry","art history",0,1
"biochemistry","biochemistry",4593,2642
"biochemistry","chemistry",673,350
"biochemistry","classics",0,1
"biochemistry","communications",7,9
"biochemistry","computer science",128,48
"biochemistry","earth sciences",30,19
"biochemistry","economics",15,15
"biochemistry","education",62,48
"biochemistry","engineering",271,108
"biochemistry","english literature",2,2
"biochemistry","evolutionary biology",15,3
"biochemistry","history",2,0
"biochemistry","linguistics",0,1
"biochemistry","mathematics",17,10
"biochemistry","molecular biology",355,178
"biochemistry","neuroscience",147,109
"biochemistry","philosophy",6,0
"biochemistry","physics",133,72
"biochemistry","political science",1,2
"biochemistry","psychology",12,14
"biochemistry","sociology",16,11
"biochemistry","statistics",25,11
"chemistry","anthropology",5,10
"chemistry","archaeology",14,6
"chemistry","art history",2,4
"chemistry","biochemistry",869,422
"chemistry","chemistry",44920,18028
"chemistry","classics",2,2
"chemistry","communications",22,17
"chemistry","computer science",265,63
"chemistry","earth sciences",213,124
"chemistry","economics",59,25
"chemistry","education",352,254
"chemistry","engineering",3661,1340
"chemistry","english literature",7,11
"chemistry","evolutionary biology",7,10
"chemistry","history",15,6
"chemistry","linguistics",5,5
"chemistry","mathematics",161,82
"chemistry","middle eastern studies",1,0
"chemistry","molecular biology",200,105
"chemistry","music",6,5
"chemistry","neuroscience",102,48
"chemistry","philosophy",34,9
"chemistry","physics",1337,461
"chemistry","political science",8,1
"chemistry","psychology",29,26
"chemistry","sociology",10,8
"chemistry","spanish literature",1,2
"chemistry","statistics",27,9
"classics","anthropology",9,13
"classics","archaeology",16,21
"classics","art history",9,9
"classics","biochemistry",1,2
"classics","chemistry",2,1
"classics","classics",584,517
"classics","communications",7,7
"classics","comparative literature",7,5
"classics","computer science",5,3
"classics","earth sciences",1,2
"classics","economics",2,1
"classics","education",30,46
"classics","engineering",4,1
"classics","english literature",12,13
"classics","history",66,60
"classics","linguistics",30,41
"classics","mathematics",3,0
"classics","middle eastern studies",3,1
"classics","music",5,1
"classics","neuroscience",1,2
"classics","philosophy",29,28
"classics","physics",0,2
"classics","political science",7,4
"classics","psychology",4,5
"classics","sociology",2,0
"classics","spanish literature",21,13
"communications","anthropology",33,36
"communications","archaeology",0,4
"communications","art history",16,18
"communications","astronomy",0,1
"communications","biochemistry",3,0
"communications","chemistry",4,8
"communications","classics",5,5
"communications","communications",4437,4679
"communications","comparative literature",6,3
"communications","computer science",110,47
"communications","earth sciences",5,6
"communications","economics",91,96
"communications","education",318,464
"communications","engineering",334,87
"communications","english literature",99,96
"communications","evolutionary biology",1,1
"communications","history",57,79
"communications","linguistics",49,64
"communications","mathematics",17,7
"communications","middle eastern studies",4,1
"communications","molecular biology",1,3
"communications","music",6,5
"communications","neuroscience",8,8
"communications","philosophy",78,70
"communications","physics",26,5
"communications","political science",105,80
"communications","psychology",92,123
"communications","sociology",73,95
"communications","spanish literature",14,17
"communications","statistics",6,4
"comparative literature","anthropology",3,0
"comparative literature","art history",0,4
"comparative literature","classics",1,3
"comparative literature","communications",8,11
"comparative literature","comparative literature",111,137
"comparative literature","computer science",1,1
"comparative literature","economics",0,1
"comparative literature","education",12,11
"comparative literature","engineering",1,0
"comparative literature","english literature",48,64
"comparative literature","history",6,8
"comparative literature","linguistics",2,7
"comparative literature","middle eastern studies",0,2
"comparative literature","music",0,1
"comparative literature","philosophy",6,5
"comparative literature","physics",2,0
"comparative literature","political science",3,3
"comparative literature","psychology",1,2
"comparative literature","sociology",5,4
"comparative literature","spanish literature",16,13
"computer science","anthropology",10,3
"computer science","archaeology",7,1
"computer science","astronomy",1,0
"computer science","biochemistry",69,23
"computer science","chemistry",127,27
"computer science","classics",2,2
"computer science","communications",147,40
"computer science","computer science",19692,4787
"computer science","earth sciences",54,12
"computer science","economics",166,67
"computer science","education",357,204
"computer science","engineering",2639,500
"computer science","english literature",22,11
"computer science","evolutionary biology",18,4
"computer science","history",19,8
"computer science","linguistics",55,18
"computer science","mathematics",640,126
"computer science","molecular biology",46,9
"computer science","music",5,0
"computer science","neuroscience",76,23
"computer science","philosophy",46,8
"computer science","physics",257,55
"computer science","political science",24,6
"computer science","psychology",146,52
"computer science","sociology",22,9
"computer science","spanish literature",1,1
"computer science","statistics",130,29
"earth sciences","anthropology",4,4
"earth sciences","archaeology",6,7
"earth sciences","biochemistry",24,17
"earth sciences","chemistry",109,72
"earth sciences","communications",6,13
"earth sciences","computer science",48,12
"earth sciences","earth sciences",3908,1853
"earth sciences","economics",24,12
"earth sciences","education",44,38
"earth sciences","engineering",351,132
"earth sciences","english literature",2,1
"earth sciences","evolutionary biology",8,8
"earth sciences","history",4,5
"earth sciences","mathematics",22,19
"earth sciences","molecular biology",3,2
"earth sciences","neuroscience",0,1
"earth sciences","philosophy",5,2
"earth sciences","physics",359,144
"earth sciences","political science",3,5
"earth sciences","psychology",1,2
"earth sciences","sociology",3,2
"earth sciences","statistics",4,4
"economics","anthropology",29,16
"economics","archaeology",5,5
"economics","art history",3,4
"economics","astronomy",1,0
"economics","biochemistry",6,5
"economics","chemistry",20,13
"economics","classics",1,0
"economics","communications",87,97
"economics","comparative literature",0,1
"economics","computer science",163,66
"economics","earth sciences",21,14
"economics","economics",21618,9623
"economics","education",457,353
"economics","engineering",552,189
"economics","english literature",29,27
"economics","evolutionary biology",2,3
"economics","history",124,64
"economics","linguistics",8,18
"economics","mathematics",185,60
"economics","middle eastern studies",17,4
"economics","molecular biology",1,0
"economics","music",19,7
"economics","neuroscience",3,4
"economics","philosophy",103,49
"economics","physics",38,7
"economics","political science",303,168
"economics","psychology",92,88
"economics","sociology",169,135
"economics","spanish literature",3,3
"economics","statistics",281,120
"education","anthropology",54,88
"education","archaeology",14,19
"education","art history",22,37
"education","biochemistry",36,21
