Model	gender	variable	coef	se	lower	upper
Choice Model	male	fab	.2011626	.0083185	.1848585	.2174666
Choice Model	male	stem	1.019416	.0091563	1.00147	1.037362
Choice Model	male	sme	.7495538	.0091611	.7315983	.7675093
Choice Model	male	hw	.6435994	.0071859	.6295152	.6576836
Choice Model	male	sel	-.9405513	.0078619	-.9559604	-.9251422
Choice Model	female	fab	-.8354124	.0161296	-.8670259	-.8037989
Choice Model	female	stem	.0018853	.0125335	-.0226799	.0264505
Choice Model	female	sme	-.2527431	.0117253	-.2757241	-.229762
Choice Model	female	hw	.0158314	.011378	-.0064692	.0381319
Choice Model	female	sel	-.5367899	.0108511	-.5580577	-.515522
