field	covariate
anthropology	2.0217808108221647
archaeology	4.215994152939257
art history	3.621939866440806
astronomy	2.1377842205912954
biochemistry	2.2540644497105067
chemistry	3.856150551337036
classics	4.790559369482557
communications	2.432942823069337
comparative literature	4.654639206208261
computer science	4.685471801630843
earth sciences	2.3335112737508346
economics	4.955969172893248
education	2.7008041982059474
engineering	2.5649858794724176
english literature	3.1335597414453304
evolutionary biology	2.336126260421497
history	4.121295795566128
linguistics	3.8097837035499547
mathematics	4.251460954720615
middle eastern studies	2.8033782526149027
molecular biology	4.147966093196296
music	3.3803661849929405
neuroscience	3.9521947946290834
philosophy	3.4449885625719605
physics	4.805849398844019
political science	3.4007865479459607
psychology	2.343418602699436
sociology	4.488154397984008
spanish literature	2.921517963163804
statistics	4.110755256638399
