from_matched_field	to_matched_field	n_male	n_female
anthropology	anthropology	19	3
anthropology	archaeology	1	14
anthropology	art history	12	46
anthropology	astronomy	19	109
anthropology	biochemistry	5	50
anthropology	chemistry	5	95
anthropology	classics	13	35
anthropology	communications	8	101
anthropology	comparative literature	40	153
anthropology	computer science	16	81
anthropology	earth sciences	4	64
anthropology	economics	5	94
anthropology	education	1	0
anthropology	engineering	30	39
anthropology	english literature	4	4
anthropology	evolutionary biology	1	14
anthropology	history	4	109
anthropology	linguistics	4	145
anthropology	mathematics	20	122
anthropology	middle eastern studies	71	78
anthropology	molecular biology	0	20
anthropology	music	20	81
anthropology	neuroscience	2	19
anthropology	philosophy	31	58
anthropology	physics	1	14
anthropology	political science	3	36
anthropology	psychology	14	95
anthropology	sociology	144	281
anthropology	spanish literature	65	173
anthropology	statistics	0	29
archaeology	anthropology	35	0
archaeology	archaeology	87	18
archaeology	art history	46	9
archaeology	astronomy	58	2
archaeology	biochemistry	50	0
archaeology	chemistry	65	34
archaeology	classics	66	17
archaeology	communications	103	7
archaeology	comparative literature	55	0
archaeology	computer science	5	0
archaeology	earth sciences	90	6
archaeology	economics	180	50
archaeology	education	61	0
archaeology	engineering	49	3
archaeology	english literature	0	0
archaeology	evolutionary biology	2	6
archaeology	history	41	1
archaeology	linguistics	100	1
archaeology	mathematics	49	4
archaeology	middle eastern studies	11	0
archaeology	molecular biology	111	42
archaeology	music	58	9
archaeology	neuroscience	47	23
archaeology	philosophy	121	6
archaeology	physics	149	65
archaeology	political science	193	90
archaeology	psychology	151	8
archaeology	sociology	95	8
archaeology	spanish literature	9	7
archaeology	statistics	177	68
art history	anthropology	3	7
art history	archaeology	9	32
art history	art history	15	8
art history	astronomy	7	18
art history	biochemistry	10	35
art history	chemistry	22	60
art history	classics	163	167
art history	communications	16	73
art history	comparative literature	28	73
art history	computer science	29	63
art history	earth sciences	16	63
art history	economics	47	36
art history	education	68	53
art history	engineering	23	52
art history	english literature	28	76
art history	evolutionary biology	1	13
art history	history	6	27
art history	linguistics	1	0
art history	mathematics	0	0
art history	middle eastern studies	25	12
art history	molecular biology	0	2
art history	music	18	4
art history	neuroscience	14	101
art history	philosophy	99	82
art history	physics	45	182
art history	political science	41	226
art history	psychology	13	13
art history	sociology	117	64
art history	spanish literature	9	8
art history	statistics	0	14
astronomy	anthropology	181	26
astronomy	archaeology	263	265
astronomy	art history	78	8
astronomy	astronomy	53	20
astronomy	biochemistry	2	0
astronomy	chemistry	45	15
astronomy	classics	190	77
astronomy	communications	7	4
astronomy	comparative literature	51	17
astronomy	computer science	56	140
astronomy	earth sciences	2	2
astronomy	economics	23	64
astronomy	education	4	1
astronomy	engineering	176	63
astronomy	english literature	21	5
astronomy	evolutionary biology	56	42
astronomy	history	95	16
astronomy	linguistics	47	32
astronomy	mathematics	96	4
astronomy	middle eastern studies	33	8
astronomy	molecular biology	36	159
astronomy	music	9	23
astronomy	neuroscience	1	10
astronomy	philosophy	22	8
astronomy	physics	13	35
astronomy	political science	14	16
astronomy	psychology	16	8
astronomy	sociology	2	1
astronomy	spanish literature	12	19
astronomy	statistics	45	50
biochemistry	anthropology	147	23
biochemistry	archaeology	3	1
biochemistry	art history	5	2
biochemistry	astronomy	2	5
biochemistry	biochemistry	4	1
biochemistry	chemistry	6	42
biochemistry	classics	37	26
biochemistry	communications	2	3
biochemistry	comparative literature	15	4
biochemistry	computer science	70	23
biochemistry	earth sciences	5	9
biochemistry	economics	9	6
biochemistry	education	13	3
biochemistry	engineering	26	14
biochemistry	english literature	34	11
biochemistry	evolutionary biology	2	2
biochemistry	history	18	3
biochemistry	linguistics	44	49
biochemistry	mathematics	0	5
biochemistry	middle eastern studies	25	16
biochemistry	molecular biology	18	9
biochemistry	music	80	114
biochemistry	neuroscience	1	33
biochemistry	philosophy	37	4
biochemistry	physics	34	4
biochemistry	political science	11	9
biochemistry	psychology	159	52
biochemistry	sociology	18	7
biochemistry	spanish literature	16	16
biochemistry	statistics	5	12
chemistry	anthropology	5	5
chemistry	archaeology	11	12
chemistry	art history	116	20
chemistry	astronomy	99	24
chemistry	biochemistry	119	38
chemistry	chemistry	61	51
chemistry	classics	8	0
chemistry	communications	29	4
chemistry	comparative literature	494	29
chemistry	computer science	12	1
chemistry	earth sciences	17	13
chemistry	economics	23	19
chemistry	education	196	5
chemistry	engineering	7	5
chemistry	english literature	37	0
chemistry	evolutionary biology	12	9
chemistry	history	72	5
chemistry	linguistics	25	0
chemistry	mathematics	8	3
chemistry	middle eastern studies	47	1
chemistry	molecular biology	282	54
chemistry	music	28	13
chemistry	neuroscience	5	4
chemistry	philosophy	1	0
chemistry	physics	57	4
chemistry	political science	34	15
chemistry	psychology	35	1
chemistry	sociology	22	5
chemistry	spanish literature	51	9
chemistry	statistics	82	88
classics	anthropology	6	10
classics	archaeology	21	96
classics	art history	138	51
classics	astronomy	63	18
classics	biochemistry	0	1
classics	chemistry	23	39
classics	classics	20	114
classics	communications	36	58
classics	comparative literature	18	37
classics	computer science	50	51
classics	earth sciences	2	19
classics	economics	11	180
classics	education	1	6
classics	engineering	10	27
classics	english literature	2	3
classics	evolutionary biology	90	423
classics	history	1	9
classics	linguistics	13	10
classics	mathematics	1	7
classics	middle eastern studies	21	21
classics	molecular biology	1	8
classics	music	22	30
classics	neuroscience	9	66
classics	philosophy	27	33
classics	physics	71	154
classics	political science	38	120
classics	psychology	60	36
classics	sociology	207	51
classics	spanish literature	55	45
classics	statistics	1	1
communications	anthropology	37	202
communications	archaeology	6	9
communications	art history	10	9
communications	astronomy	25	30
communications	biochemistry	1	128
communications	chemistry	1	83
communications	classics	43	34
communications	communications	1	12
communications	comparative literature	8	46
communications	computer science	20	31
communications	earth sciences	1	4
communications	economics	0	0
communications	education	15	14
communications	engineering	13	1
communications	english literature	30	20
communications	evolutionary biology	0	5
communications	history	20	48
communications	linguistics	5	15
communications	mathematics	155	113
communications	middle eastern studies	5	12
communications	molecular biology	7	170
communications	music	1	5
communications	neuroscience	13	17
communications	philosophy	52	141
communications	physics	6	39
communications	political science	11	53
